"forecast_date","avg_temp","min_temp","max_temp"
2014-10-01,13.1,7.2,15.4
2014-10-02,11.7,6.8,14
2014-10-03,10.6,6.4,13.2
2014-10-04,9.5,6.1,11.3
2014-10-05,9.2,8,11
2014-10-06,9.9,8,12
2014-10-07,12.4,10.8,14.6
2014-10-08,14.2,12.2,15.3
2014-10-09,16.3,15.2,17.4
2014-10-10,15.3,14.3,16.4
2014-10-11,15.8,13.7,17.5
2014-10-12,13.6,12.5,15.3
2014-10-13,15,13,16.9
2014-10-14,13.7,12.1,16.7
2014-10-15,11.8,10.8,13.5
2014-10-16,11.6,9.5,13.5
2014-10-17,11.7,9.2,13.3
2014-10-18,9.8,1.1,14
2014-10-19,14.1,11.2,16.3
2014-10-20,13.1,12.6,14.3
2014-10-21,11,8.8,13
2014-10-22,8.4,5.2,10.9
2014-10-23,4.5,-0.8,8.4
2014-10-24,2.1,-2.4,6.3
2014-10-25,2.5,-0.4,5.2
2014-10-26,4.9,-0.4,11.4
2014-10-27,4.7,-1.4,10.6
2014-10-28,4.2,1.6,7.6
2014-10-29,3.6,1.2,7
2014-10-30,5.5,4.2,7.2
2014-10-31,5.9,3.9,9.3
2014-11-01,7.4,2,11.5
2014-11-02,8.1,3.8,11.3
2014-11-03,8.3,5.5,12.6
2014-11-04,9.6,7.2,13.1
2014-11-05,11.2,8.1,14.8
2014-11-06,11,8.2,15.7
2014-11-07,9.3,5.1,15.5
2014-11-08,7.4,3.9,12.5
2014-11-09,8.7,5,10.9
2014-11-10,10.2,8.8,12.5
2014-11-11,9.6,7,12.8
2014-11-12,8.6,3.8,12.3
2014-11-13,8.2,6.2,10.1
2014-11-14,7.6,4.8,8.9
2014-11-15,6.3,2.6,10.3
2014-11-16,6,3.4,8.6
2014-11-17,5.7,3.5,7.6
2014-11-18,3.5,-0.2,6.5
2014-11-19,2.7,-0.4,6.2
2014-11-20,2.3,-0.4,4.7
2014-11-21,2.8,-0.1,5.1
2014-11-22,3.2,0.4,5.3
2014-11-23,2.7,0.8,5.4
2014-11-24,2.6,-0.5,5.5
2014-11-25,3.5,-0.4,5.5
2014-11-26,2.4,-2,4.2
2014-11-27,-0.1,-4.5,2.5
2014-11-28,-2.4,-6.4,0.3
2014-11-29,-4.4,-10.2,-1.9
2014-11-30,-4.4,-6.8,-2
2014-12-01,-3.8,-6,-2.2
2014-12-02,-3.2,-7.4,-1
2014-12-03,-1,-4,2
2014-12-04,-0.3,-2.6,3.2
2014-12-05,-0.7,-2.1,2.5
2014-12-06,1.2,-1.4,4
2014-12-07,1.2,-0.8,3
2014-12-08,1.1,-0.2,3.4
2014-12-09,-0.9,-2.8,1.2
2014-12-10,-1,-4.6,1.8
2014-12-11,2,-1.1,4.1
2014-12-12,5.5,2.8,8.4
2014-12-13,4.8,3.9,7.4
2014-12-14,3.4,1.1,6.7
2014-12-15,5.2,3.6,8.2
2014-12-16,4.9,4.2,7.8
2014-12-17,2.4,1.8,4.5
2014-12-18,6.7,3.1,9.9
2014-12-19,8.8,7.2,10.8
2014-12-20,4.3,4,5.8
2014-12-21,4.2,3,6.1
2014-12-22,7.9,6.1,10.8
2014-12-23,8.9,6.1,11.9
2014-12-24,6.7,5.6,7.9
2014-12-25,2.3,-0.4,4.9
2014-12-26,-4.3,-9.7,-1.5
2014-12-27,-6.9,-9,-4.6
2014-12-28,-6.3,-7.8,-1.9
2014-12-29,-6.3,-8.3,-3.3
2014-12-30,-7.3,-11.2,-1.3
2014-12-31,-1.4,-6.5,3.4
2015-01-01,1.3,-1.1,3.4
2015-01-02,3.7,-0.4,5.7
2015-01-03,2.7,2,4.3
2015-01-04,1.4,0.8,3
2015-01-05,-0.4,-2.1,2
2015-01-06,-6.6,-13.3,-1.1
2015-01-07,-4.4,-10.4,1.2
2015-01-08,0.6,-4.9,3.9
2015-01-09,4,1.5,6.2
2015-01-10,6.3,3.8,9.1
2015-01-11,2.8,2.2,3.7
2015-01-12,4.5,3,6.2
2015-01-13,7.2,3.6,9.3
2015-01-14,4.7,3,6.9
2015-01-15,3.3,0.4,6
2015-01-16,5.2,3.4,6.8
2015-01-17,3.3,2.2,6.1
2015-01-18,0.5,-1.8,2.2
2015-01-19,0.4,-2.2,2.1
2015-01-20,0.8,-1,2.1
2015-01-21,0.9,-1,3.2
2015-01-22,0.6,-1.8,3.8
2015-01-23,0.2,-1.4,1.6
2015-01-24,-0.9,-2.4,2.2
2015-01-25,-0.5,-1.5,1.4
2015-01-26,-0.7,-2.1,2
2015-01-27,0.6,-1,2.9
2015-01-28,1.1,0.2,3.1
2015-01-29,0.4,-0.8,2.5
2015-01-30,1,0.4,3.7
2015-01-31,-0.4,-1.2,1.4
2015-02-01,-0.8,-2.8,0.8
2015-02-02,-0.9,-2.2,1
2015-02-03,-1.6,-3.4,0.2
2015-02-04,-2.2,-3.6,-0.7
2015-02-05,-2.8,-3.8,-1.6
2015-02-06,-3.4,-4.8,-1
2015-02-07,-0.8,-2.2,2.6
2015-02-08,-1.8,-3.1,1.3
2015-02-09,0.9,-2.1,3.6
2015-02-10,2.2,0.4,4.5
2015-02-11,1.9,0.2,4
2015-02-12,0.7,0.4,1.8
2015-02-13,-0.1,-1.2,1.3
2015-02-14,0.4,-0.8,2.4
